clip,frames,dur_s,jl_viol,jl_viol_deg,jl_max_range_pct,jl_atlim_pct,jl_worst_joint,jl_worst_joint_atlim_pct,jl_worst_joint_range_pct,slip_foot_max_cm,slip_foot_p95_cm,slip_foot_time_s,contact_foot_pct,slip_hand_max_cm,slip_hand_p95_cm,slip_hand_time_s,contact_hand_pct,grnd_pen_plant_cm,grnd_pen_plant_pct,grnd_pen_any_cm,grnd_pen_any_pct,foot_float_max_cm,foot_float_mean_cm,coll_pct,peak_pen_cm
kneelingFall_02,490,4.0833,0,0.0000,91.3047,32.6531,RIGHT_ANKLE_X,32.6531,49.5934,0.6508,0.2975,0.0000,57.7551,0.0000,0.0000,0.0000,0.0000,2.1297,15.5477,13.2466,100.0000,0.0138,0.0028,34.0816,1.4779
kneelingFall_03,587,4.8917,0,0.0000,92.1920,56.0477,RIGHT_KNEE_Y,56.0477,92.1920,4.7945,2.0315,0.8250,99.1482,0.0000,0.0000,0.0000,0.0000,0.8905,8.0780,15.8665,71.2095,0.1486,0.0219,60.9881,1.3545
luigi_standProne_03,802,6.6833,0,0.0000,100.0000,63.7157,LEFT_GRIPPER_Z,56.2344,29.4358,5.0676,1.0844,0.2083,49.1272,4.5869,4.5706,0.9833,14.7132,0.5957,1.6260,2.5759,7.7307,1.3393,0.3684,6.6085,2.4697
luigi_standSupine_08,1163,9.6917,0,0.0000,97.8626,84.0069,NECK_Y,60.4471,49.8337,4.2793,0.8829,0.1333,33.3620,1.0511,0.7987,0.0167,16.6810,0.7851,2.1390,13.7723,65.2623,1.2129,0.4378,23.4738,2.1982
shovel_fronthard_02,3835,31.9583,0,0.0000,65.3515,78.2008,LEFT_GRIPPER_Z,77.8357,49.4981,2.2736,0.5637,0.3917,91.4472,0.0000,0.0000,0.0000,0.0000,2.2714,3.3966,3.9301,11.9426,1.4434,0.2605,0.0000,0.0000
shovel_leftbucket_02,2084,17.3667,0,0.0000,86.2421,22.6008,RIGHT_SHOULDER_Z,10.5086,86.2421,2.5930,1.0769,0.7833,82.1497,0.0000,0.0000,0.0000,0.0000,2.1314,17.8060,5.0982,45.4415,1.9011,0.3781,0.0000,0.0000
shovel_lefthard_01,3893,32.4417,0,0.0000,62.5467,5.2145,LEFT_ANKLE_X,2.8513,47.6947,2.4658,0.4812,0.3833,96.1469,0.0000,0.0000,0.0000,0.0000,3.3090,4.8117,3.6309,12.8693,0.5086,0.1000,0.0000,0.0000
shovel_rightbucket_01,4323,36.0250,0,0.0000,89.5704,25.8617,RIGHT_GRIPPER_Z,19.1302,89.5704,3.3191,0.7431,0.3500,89.5212,0.0000,0.0000,0.0000,0.0000,1.4910,5.3913,2.8870,20.3100,1.8299,0.2167,0.0000,0.0000
shovel_righthard_01,3927,32.7250,0,0.0000,81.8271,28.6733,RIGHT_WRIST_X,14.8205,22.6171,2.8312,0.4956,0.2583,94.1940,0.0000,0.0000,0.0000,0.0000,2.3259,4.9520,2.8502,14.1329,0.8103,0.1210,0.0000,0.0000
standupFromKneeling_01,611,5.0917,0,0.0000,80.7005,100.0000,LEFT_SHOULDER_Z,90.9984,21.3903,0.6701,0.5854,0.0000,42.3895,0.0000,0.0000,0.0000,0.0000,3.6325,20.4023,7.5894,67.5941,1.6979,0.9211,72.5041,0.9143
standupFromKneeling_02,623,5.1917,0,0.0000,82.0294,21.3483,LEFT_WRIST_X,21.3483,6.9895,2.0657,1.1021,0.3833,92.1348,0.0000,0.0000,0.0000,0.0000,0.8305,15.2833,1.7582,24.7191,1.0517,0.3001,66.6132,1.4676
standupKnees_02,562,4.6833,0,0.0000,90.0605,0.0000,-,0.0000,33.4083,1.5318,1.3029,0.3417,49.6441,0.0000,0.0000,0.0000,0.0000,0.0504,0.0000,6.6918,65.4804,1.2472,0.2808,26.5125,0.4172
